k.Name,Sword,Shield,Buff,Description,d.DamageRate,foo0,foo1,foo2,foo3,foo4,foo5,foo6,foo7
class_0,sword_0,shield_0,buff_0,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_1,sword_1,shield_1,buff_1,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_2,sword_2,shield_2,buff_2,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_3,sword_3,shield_3,buff_3,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_4,sword_4,shield_4,buff_4,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_5,sword_5,shield_5,buff_5,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_6,sword_6,shield_6,buff_6,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_7,sword_7,shield_7,buff_7,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_8,sword_8,shield_8,buff_8,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_9,sword_9,shield_9,buff_9,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_10,sword_10,shield_10,buff_10,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_11,sword_11,shield_11,buff_11,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_12,sword_12,shield_12,buff_12,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_13,sword_13,shield_13,buff_13,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_14,sword_14,shield_14,buff_14,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_15,sword_15,shield_15,buff_15,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_16,sword_16,shield_16,buff_16,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
class_17,sword_17,shield_17,buff_17,my class of amazeballs,1.3,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
