k.Name,Description,d.Rate,foo0,foo1,foo2,foo3,foo4,foo5,foo6,foo7
shield_0,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_1,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_2,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_3,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_4,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_5,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_6,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_7,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_8,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_9,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_10,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_11,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_12,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_13,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_14,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_15,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_16,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_17,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_18,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_19,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_20,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_21,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_22,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_23,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_24,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_25,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_26,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_27,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_28,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_29,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_30,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_31,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_32,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_33,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_34,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_35,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_36,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_37,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_38,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_39,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_40,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_41,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_42,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_43,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_44,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_45,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_46,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_47,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_48,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_49,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_50,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_51,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_52,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_53,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_54,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_55,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_56,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_57,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_58,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_59,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_60,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_61,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_62,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_63,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_64,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_65,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_66,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_67,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_68,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_69,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_70,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_71,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_72,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
shield_73,my shield of amazeballs,0.7,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
